circuitName,Location/country,desgaste,vueltas_totales,km_total
Albert Park Grand Prix Circuit,Australia,Bajo,58,307.574
Circuit of the Americas,USA,Alto,56,308.405
Bahrain International Circuit,Bahrain,Alto,57,308.238
Baku City Circuit,Azerbaijan,Bajo,51,306.049
Circuit de Barcelona-Catalunya,Spain,Alto,66,307.104
Hungaroring,Hungary,Bajo,70,306.630
Autodromo Enzo e Dino Ferrari,Italy,Medio,63,309.049
Autódromo José Carlos Pace,Brazil,Medio,71,305.879
Jeddah Corniche Circuit,Saudi Arabia,Bajo,50,308.450
Marina Bay Street Circuit,Singapore,Bajo,61,308.706
Miami International Autodrome,USA,Bajo,57,308.326
Circuit de Monaco,Monaco,Medio,78,260.286
Autodromo Nazionale di Monza,Italy,Medio,53,306.720
Red Bull Ring,Austria,Medio,71,306.452
Circuit Paul Ricard,France,Medio,53,309.690
Autódromo Hermanos Rodríguez,Mexico,Bajo,71,305.354
Silverstone Circuit,UK,Medio,52,306.198
Circuit de Spa-Francorchamps,Belgium,Alto,44,308.052
Suzuka Circuit,Japan,Medio,53,307.471
Circuit Gilles Villeneuve,Canada,Bajo,70,305.270
Yas Marina Circuit,UAE,Medio,58,305.355
Circuit Park Zandvoort,Netherlands,Medio,72,306.648
